Titulo da reportagem;data;municipio_lista
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
PF e forças estaduais erradicam 13 mil pés de maconha no sertão de Pernambuco;7/7/2025;Carnaubeira   Penha
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré;7/23/2025;Rio   Janeiro
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
Plantação de maconha com sistema de energia solar é destruída pela polícia na Bahia;8/19/2025;Brotas   Macaúbas
Fazenda de Maconha com grande estrutura é descoberta pela polícia em Brotas de Macaúbas;8/20/2025;Brotas   Macaúbas
Plantação de maconha é descoberta em área de preservação ambiental em MT;9/12/2025;Tangará   Serra
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
Polícia Militar apreende plantação de maconha e cocaína enterrada em São Pedro da Aldeia.;Sem informações;São Pedro   Aldeia
PF erradica mais de 100 mil pés de maconha em Pernambuco e evita a produção de 34 toneladas da droga;6/24/2020;Carnaubeira   Penha
PF erradica mais de 100 mil pés de maconha em Pernambuco e evita a produção de 34 toneladas da droga;6/24/2020;Carnaubeira   Penha
PF erradica mais de 100 mil pés de maconha em Pernambuco e evita a produção de 34 toneladas da droga;6/24/2020;Carnaubeira   Penha
PF erradica mais de 100 mil pés de maconha em Pernambuco e evita a produção de 34 toneladas da droga;6/24/2020;Carnaubeira   Penha
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Brotas de Macaúba: Força integrada Estadual e Federal erradica 200 mil pés de maconha e apreende uma tonelada da droga;2/21/2026;Brotas   Macaúbas
PF e PM prendem seis pessoas durante apreensão de mais de 2 toneladas de maconha, no AM;1/24/2023;Barco     município   Novo Airão
PF destrói 8 mil pés de maconha em operação no interior do Amazonas;8/29/2025;Nova Orlinda do Norte
Mais de 3 mil pessoas foram presas por tráfico de drogas no primeiro semestre de 2022, no Amazonas;15/09/2022 (mensuração 6 primeiros meses de 2022);Aparato geral - Amazonas
Amazonas atinge novo recorde de apreensão de drogas;11/02/2021 (mensuração 2020);Aparato geral - Amazonas
SSP-AM registra apreensão recorde de 10,5 toneladas de drogas;07/01/2016 (mensuração 2015);Aparato geral - Amazonas
Plantação de maconha com sistema de energia solar é destruída pela polícia na Bahia;8/19/2025;Brotas   Macaúbas
Fazenda de Maconha com grande estrutura é descoberta pela polícia em Brotas de Macaúbas;8/20/2025;Brotas   Macaúbas
Bahia ultrapassa 1 milhão de pés de maconha erradicados em 2025;20/08/2025 (jan a ago de 2025);Aparato geral - Bahia
Bahia ultrapassa 1 milhão de pés de maconha erradicados em 2026;20/08/2025 (jan a ago de 2025);Aparato geral - Bahia
Brotas de Macaúba: Força integrada Estadual e Federal erradica 200 mil pés de maconha e apreende uma tonelada da droga;2/21/2026;Brotas   Macaúbas
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões   Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Encontrado no km 402   rodovia 020 em Caucaia
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
Golpe a narcos: destruyen 142 toneladas de marihuana en Concepción;5/8/2023;Ka'aguy Poty Rory
Golpe a narcos: destruyen 142 toneladas de marihuana en Concepción;5/8/2023;distrito   Yby Yaú
PRF apreende cerca de 400 kg maconha e skunk com caminhoneiro sem CNH;13/08/2022 (mensuração final de junho);DF - Ceilândia
Plantação de maconha é descoberta em área de preservação ambiental em MT;9/12/2025;Tangará   Serra
Como as plantações de maconha ajudaram a espalhar o crime pelo país e chegaram à Amazônia;30/07/2020 (mensuração Brasil nos anos de 2017 a 2020);Aparato geral - Brasil
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente';7/30/2025;Região do  Alto Paranaíba
Narcotráfico no Brasil acelera destruição da floresta tropical amazônica e aumenta violência;1/31/2022;Aparato geral - Pará
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
O invisível tráfico de drogas;18/04/2022 (mensuração 2019 a 2021);Aparato geral - Pará
O invisível tráfico de drogas;18/04/2022 (mensuração de jan. a mar. de 2022);Aparato geral - Pará
A luta contra o crime organizado continua em Canindeyú;7/8/2024;Canindeyú
Polícia Federal destrói mais de 100 mil pés de maconha na Paraíba;4/12/2025;Sem informações
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;2/13/2017;Ibó
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
PF e forças estaduais erradicam 13 mil pés de maconha no sertão de Pernambuco;7/7/2025;Carnaubeira   Penha
Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga;08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022);Carnaubeira   Penha
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;13/02/2017 (Mensuração ano de 2015);Aparato geral - Pernambuco
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;13/02/2017 (Mensuração ano de 2016);Aparato geral - Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""";13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro);Carnaubeira   Penha
Em 5 meses, PF descobre mais de 300 toneladas de maconha em Pernambuco;17/07/2020 (mensuração fev. a início de jul. de 2020);Aparato geral - Pernambuco
Em 5 meses, PF descobre mais de 300 toneladas de maconha em Pernambuco;Mensuração fev. a início de jul. de 2019;Aparato geral - Pernambuco
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Região   Orocó
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Santa Maria   Boa Vista
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Além disso
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;a PF também esteve presente em áreas   caatinga em Salgueiro
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Carnaubeira   Penha
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Ibó
PF erradica mais de 100 mil pés de maconha em Pernambuco e evita a produção de 34 toneladas da droga;6/24/2020;Carnaubeira   Penha
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Principalmente Salgueiro
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Belém   São Francisco
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Afogados   Ingazeira
Polícia destrói quase 150 mil pés de maconha no Sertão de Pernambuco;08/06/2020 (mensuração 02 a 07 de junho);Belém   São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Santa Maria   Boa Vista
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Carnaubeira   Penha
Operação Carcará: PF destrói mais de 576 mil pés de maconha em ilhas do Rio São Francisco, no Sertão de PE;2/13/2026;Circunscrição   Salgueiro
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco;5/20/2025;Ibimirim e Serra Talhada
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco;5/20/2025;e Manaíra
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré;7/23/2025;Rio   Janeiro
Polícia Militar apreende plantação de maconha e cocaína enterrada em São Pedro da Aldeia.;Sem informações;São Pedro   Aldeia
BA: operação policial prende sete pessoas e destrói 15 toneladas de maconha;3/31/2026;Sem informações
Operação erradica mais de 1,6 mil pés de maconha no Sertão de Pernambuco;4/27/2026;Carnaubeira   Penha
Polícia destrói 800 quilos de maconha e erradica plantações na região de fronteira;5/3/2026;Distrito   Pedro Juan Caballero
